article_id,type,text,extract_id
e8345ee5-bd15-4ab4-a554-f571f8312851,keyword,deposit insurance fund,001bd18b-d12e-4735-96f1-e70e7ab84d5c
ed80cfc1-737e-4337-9c4c-8ce7ee6981e7,keyword,banks,00b5d07b-3bdd-4f4f-ab03-380e03e33b0c
347242d3-6e22-4375-8360-8d8de561cd58,keyword,caitlin piasecki,00dc4844-eaa1-4a28-8c9a-b8cc24ab8f65
4a6359df-85f0-4b44-a2c6-dc7b25af00fe,keyword,data scientists,01023f96-083f-448b-b4cc-ab7369138c7f
a7157774-b8e8-4c47-9bbe-5534b05d313f,keyword,physical hardening,01211869-1871-419e-b695-ae8757239365
d380cbfa-e152-4277-9136-bbc9b2e36dc5,keyword,check washing,015e771d-20f5-4cba-924a-cd061da0a08c
b3f100e2-59ed-4a5f-9301-d3e855e71f78,keyword,digital channels,018ce746-0d6b-404e-b6c0-c433365942d0
e8345ee5-bd15-4ab4-a554-f571f8312851,keyword,net interest income,01de67b3-7b8f-412f-a209-8a24bb185d98
ee3db751-b8f2-4838-8283-05af72a45a61,keyword,fraud,02363b90-640d-4105-a8bb-31cce9c102b0
446e0338-ae61-4d2f-895c-eda657bbef40,keyword,elder abuse,02587519-df8b-477c-8c34-57facdb2de53
f02359ee-3e9c-42b4-93a5-1834199be6dc,keyword,verification,0282d089-5b42-4209-9a5f-46c99c72918c
1d57d511-fe4c-479f-8547-c8143027545c,keyword,legislation,02885f08-eea9-4746-a896-b14a3f378dfe
074eb8f2-4a0a-444d-a850-346b9455a891,keyword,white house budget request,02e70f59-7530-4bb2-876e-a19f3cd6cde9
d5058242-44c6-4560-8983-1f14720018c1,keyword,telecommunications regulation,031c4e2c-450e-4249-9c92-602aadd827fc
abeb74af-85b6-4241-88ac-d7626dbe9e31,keyword,observability,040c238e-67ef-4b53-a0ce-328909a546d1
a7157774-b8e8-4c47-9bbe-5534b05d313f,keyword,cash trapping,04594c6d-ceb7-4732-b36a-58d3ccbbbb23
17bf0a8d-21d5-4115-9644-3fc299ff7f69,keyword,debit card fraud,04a700bd-13b5-40e6-b8bb-7faa0972cd53
e3711b20-be2f-4b59-9119-2b570b76a183,keyword,informed delivery,04c63297-650d-4776-a988-8d83a1f5713e
62000238-e57b-49ea-995b-68c27785d2ff,keyword,personalized service,0533ecc6-7b4d-4ba4-aff9-55e36badfa3e
05d418d8-3b07-4da4-95c9-c9c6007f8154,keyword,payee verification,05948a4d-73d8-4535-94c2-c236639fb8bb
0260698b-07fd-4346-a307-f446fa5431b0,keyword,personal financial data,05e6816a-2b05-48bb-9725-7b75572471c3
778422c8-9d96-4446-9e10-5e19d878c0a8,keyword,aba banking journal podcast,06546848-1c6b-4944-a933-792d41f2aae5
d380cbfa-e152-4277-9136-bbc9b2e36dc5,keyword,federal reserve,067232e0-8ecf-44bf-ac37-7e7cff2d669f
29b71b02-5d9b-4b17-80e2-745bb6e367ef,keyword,survey,06d8e0b0-fa15-4f03-aaa8-eb42aa7763a2
e8345ee5-bd15-4ab4-a554-f571f8312851,keyword,q3 2025,0742ee0f-8890-4dfe-bb27-5bb2625a518c
b5cf9e0a-6dc5-4de5-8d34-d96bb5f6ed6e,keyword,treasury department,079598c7-dcc3-4dd4-a18b-64a01696dbcf
f8ef297f-060e-4365-8d9b-264ba862c619,keyword,abrigo,07a2a247-272b-4d49-ae3d-a45a746cde30
c5f167c5-2ac7-43a1-b420-3abf6f3157b8,keyword,retail theft,07b3597a-bab8-494b-ae0d-891bf6560d73
e8345ee5-bd15-4ab4-a554-f571f8312851,keyword,net interest margin,07c8d763-4b0a-41a0-b18b-8ad604c59844
347242d3-6e22-4375-8360-8d8de561cd58,keyword,banks,07e42d0f-df8a-493d-adec-838359d30b5b
467830e6-b416-4627-9d20-580f2bf8b3d9,keyword,senior housing,07ee9e99-def5-4592-a59c-16cebe198cb4
17bf0a8d-21d5-4115-9644-3fc299ff7f69,keyword,phishing,080566ab-c8a7-4853-9bba-776a225f787a
00f203d8-2f61-420c-9455-b8ae6aa797d7,keyword,aba,082590f7-2ceb-451b-bde9-67c3ee73dd0b
4f66b755-1b07-451c-b18d-6c4ab481da75,keyword,consumer protection,083deb89-f8f7-4b0b-955f-0fed297841ea
db319a41-b519-4c24-87e4-a30f75a94a16,keyword,kate griffin,084cddde-1451-4430-ae1a-ef41a66c0d77
1d57d511-fe4c-479f-8547-c8143027545c,keyword,digital forecasting,0872dbf1-64b3-4ba8-bbc2-03690ccc9e2b
07b7a5e8-f9bc-4745-917f-d64fa95ca06a,keyword,american bankers association,08b533cc-1cce-4a69-956f-25441c856747
5451ae1c-fda3-4bc9-9bf7-a8e68fd48379,keyword,affordable credit,0990d4da-9033-4ca1-a8db-7d4531bb4b68
11193969-3b7e-4209-8238-e65830f7486b,summary,"The rate 30-year fixed-rate mortgage 6.24% week, 6.22% last week,according Freddie Mac.",09bd8608-6eeb-48c7-ad0a-de1596e0f8fe
56645129-4d3f-4b45-9db3-518085a53c3e,keyword,customer service line,09f14e6e-b3e5-495a-bf54-2ec83b7a5a1c
e8345ee5-bd15-4ab4-a554-f571f8312851,keyword,bank mergers and consolidations,0a00cb9f-7178-4213-98af-c3d7cc74593e
